Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR	miRNA
Function	Carbohydrate Metabolism	1	0.11111111	4.93611111	0.1857	1	0.7348	hsa-mir-186
Function	Anti-Cell Proliferation(Hwang Etal Bjc2007)	1	0.125	5.553125	0.1668	1	0.6926	hsa-let-7b
Function	Cell Division	2	0.11764706	5.22647059	0.0543	1	0.341	hsa-let-7b,hsa-mir-27a
Function	Folliculogenesis	1	0.09090909	4.03863636	0.2221	1	0.8326	hsa-let-7b
Function	Hepatic Stellate Cell Differentiation	1	0.2	8.885	0.1077	1	0.5302	hsa-let-7b
Function	Pluripotent Stem Cells Reprogramming	2	0.1	4.4425	0.0727	1	0.4027	hsa-let-7b,hsa-mir-29b-1
Function	Tumor Suppressor MiRNAs	3	0.04615385	2.05038462	0.1778	1	0.7051	hsa-let-7b,hsa-mir-181c,hsa-mir-339
Function	Myoblast Differentiation	1	0.33333333	14.80833333	0.0661	1	0.3966	hsa-mir-106a
Function	Cell Adhesion	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-29b-1
Function	Collagen Formation	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-29b-1
Function	Extracellular Matrix Remodeling	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-29b-1
Function	Neuron Apoptosis	2	0.13333333	5.92333333	0.0431	1	0.3275	hsa-mir-29b-1,hsa-mir-27a
Function	Osteoblast Differentiation	4	0.16	7.108	1.98e-3	1	0.0314	hsa-mir-29b-1,hsa-mir-199b,hsa-mir-100,hsa-mir-27a
Function	Toxicity	3	0.08333333	3.70208333	0.0452	1	0.2929	hsa-mir-29b-1,hsa-mir-27a,hsa-mir-150
Function	Cholesterol Metabolism	4	0.5	22.2125	1.45e-5	8.05e-3	6.12e-4	hsa-mir-486-2,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-92a-2
Function	Neurotoxicity	2	0.1	4.4425	0.0727	1	0.4027	hsa-mir-92a-1,hsa-mir-92a-2
Function	Cardiac Regeneration	2	0.09090909	4.03863636	0.086	1	0.4603	hsa-mir-100,hsa-mir-99a
Function	Cardiogenesis	1	0.14285714	6.34642857	0.1476	1	0.6288	hsa-mir-99a
Function	Adipocyte Lipolysis	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-378c
Function	Cholesterol Efflux	4	0.26666667	11.84666667	2.52e-4	0.1399	6.39e-3	hsa-mir-486-2,hsa-mir-486-1,hsa-mir-27a,hsa-mir-378c
Function	Cytoskeleton Remodeling	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-378c
Function	Insulin Resistance	1	0.05555556	2.46805556	0.3375	1	1	hsa-mir-378c
Function	Vascular Homeostasis	1	0.08333333	3.70208333	0.2397	1	0.8658	hsa-mir-378c
Function	Cytokine Secretion	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-150
Function	Cardiotoxicity	3	0.17647059	7.83970588	5.78e-3	1	0.0662	hsa-mir-199b,hsa-mir-486-2,hsa-mir-486-1
Function	Endocytosis	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-199b
Function	Erythrocyte Differentiation	1	0.11111111	4.93611111	0.1857	1	0.7348	hsa-mir-199b
Function	Cellular Senescence	1	0.14285714	6.34642857	0.1476	1	0.6288	hsa-mir-335
Function	Chemosensitivity Of Tumor Cells	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-27a
Function	Cholesterol Esterification	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-27a
Function	Cholesterol Hydrolysis	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-27a
Function	Cholesterol Influx	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-27a
Function	DNA Damage Response	1	0.0625	2.7765625	0.3064	1	1	hsa-mir-27a
Function	Osteoblast Apoptosis	1	0.5	22.2125	0.0445	1	0.3324	hsa-mir-27a
Function	Transdifferentiation	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-27a
Function	Vascular Inflammation	1	0.06666667	2.96166667	0.2903	1	1	hsa-mir-181c
Disease	Autoimmune Diseases [unspecific]	8	0.22222222	9.87222222	6.08e-7	3.38e-4	5.68e-5	hsa-mir-584,hsa-mir-106a,hsa-mir-92a-1,hsa-mir-30a,hsa-mir-222,hsa-mir-92a-2,hsa-mir-155,hsa-mir-150
Disease	Carcinoma, Colon	26	0.08253968	3.6668254	NaN	0.00e+0	0.00e+0	hsa-mir-584,hsa-mir-186,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-330,hsa-mir-29b-1,hsa-mir-199b,hsa-mir-100,hsa-mir-99a,hsa-mir-155,hsa-let-7b,hsa-mir-664a,hsa-mir-30a,hsa-mir-335,hsa-mir-222,hsa-mir-92a-2,hsa-mir-150,hsa-mir-139,hsa-mir-625,hsa-mir-486-2,hsa-mir-106a,hsa-mir-598,hsa-mir-130b,hsa-mir-339,hsa-mir-27a,hsa-mir-378c
Disease	Carcinoma, Thyroid	7	0.19444444	8.63819444	8.79e-6	4.89e-3	4.34e-4	hsa-mir-584,hsa-mir-486-2,hsa-mir-486-1,hsa-mir-222,hsa-mir-27a,hsa-mir-155,hsa-mir-150
Disease	Colon Neoplasms	10	0.12987013	5.76948052	3.84e-6	2.13e-3	2.53e-4	hsa-mir-584,hsa-let-7b,hsa-mir-486-2,hsa-mir-106a,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-29b-1,hsa-mir-629,hsa-mir-92a-2,hsa-mir-155
Disease	Glioma	16	0.07692308	3.41730769	3.43e-6	1.91e-3	2.34e-4	hsa-mir-584,hsa-mir-186,hsa-mir-92a-1,hsa-mir-29b-1,hsa-mir-155,hsa-let-7b,hsa-mir-181c,hsa-mir-30a,hsa-mir-335,hsa-mir-222,hsa-mir-92a-2,hsa-mir-150,hsa-mir-139,hsa-mir-106a,hsa-mir-130b,hsa-mir-27a
Disease	Hypertension	5	0.12820513	5.69551282	1.47e-3	0.8161	0.0253	hsa-mir-584,hsa-let-7b,hsa-mir-139,hsa-mir-30a,hsa-mir-155
Disease	Leukemia, Biphenotypic, Acute	2	0.33333333	14.80833333	7.00e-3	1	0.0763	hsa-mir-584,hsa-mir-29b-1
Disease	Carcinoma, Breast	25	0.07183908	3.19145115	NaN	0.00e+0	0.00e+0	hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-486-2,hsa-mir-130b,hsa-mir-339,hsa-mir-27a,hsa-mir-486-1,hsa-mir-29b-1,hsa-mir-99a,hsa-mir-155,hsa-mir-335,hsa-mir-150,hsa-mir-106a,hsa-mir-378c,hsa-mir-330,hsa-mir-100,hsa-let-7b,hsa-mir-450b,hsa-mir-181c,hsa-mir-30a,hsa-mir-139,hsa-mir-625,hsa-mir-199b,hsa-mir-222,hsa-mir-379
Disease	Carcinoma, Esophageal	4	0.06060606	2.69242424	0.0582	1	0.3601	hsa-mir-106a,hsa-mir-181c,hsa-mir-625,hsa-mir-27a
Disease	Carcinoma, Gastric	23	0.08363636	3.71554545	NaN	0.00e+0	0.00e+0	hsa-mir-186,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-29b-1,hsa-mir-100,hsa-mir-99a,hsa-mir-155,hsa-let-7b,hsa-mir-181c,hsa-mir-30a,hsa-mir-335,hsa-mir-222,hsa-mir-92a-2,hsa-mir-139,hsa-mir-500a,hsa-mir-625,hsa-mir-486-2,hsa-mir-106a,hsa-mir-130b,hsa-mir-339,hsa-mir-629,hsa-mir-27a,hsa-mir-378c
Disease	Carcinoma, Hepatocellular	27	0.07964602	3.53827434	NaN	0.00e+0	0.00e+0	hsa-mir-186,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-330,hsa-mir-29b-1,hsa-mir-199b,hsa-mir-100,hsa-mir-99a,hsa-mir-155,hsa-let-7b,hsa-mir-450b,hsa-mir-181c,hsa-mir-30a,hsa-mir-335,hsa-mir-222,hsa-mir-92a-2,hsa-mir-150,hsa-mir-139,hsa-mir-379,hsa-mir-625,hsa-mir-486-2,hsa-mir-106a,hsa-mir-130b,hsa-mir-339,hsa-mir-151a,hsa-mir-27a,hsa-mir-378c
Disease	Leukemia, Myeloid, Acute	15	0.12605042	5.59978992	9.96e-9	5.54e-6	2.95e-6	hsa-mir-186,hsa-mir-92a-1,hsa-mir-29b-1,hsa-mir-199b,hsa-mir-155,hsa-let-7b,hsa-mir-181c,hsa-mir-30a,hsa-mir-335,hsa-mir-222,hsa-mir-92a-2,hsa-mir-150,hsa-mir-625,hsa-mir-27a,hsa-mir-378c
Disease	Melanoma	9	0.06818182	3.02897727	1.97e-3	1	0.0316	hsa-mir-186,hsa-mir-29b-1,hsa-mir-155,hsa-let-7b,hsa-mir-30a,hsa-mir-222,hsa-mir-150,hsa-mir-625,hsa-mir-378c
Disease	Muscular Dystrophy, Facioscapulohumeral	2	0.11111111	4.93611111	0.0602	1	0.3717	hsa-mir-330,hsa-mir-625
Disease	Small Cell Carcinoma, Esophageal	1	0.125	5.553125	0.1668	1	0.6926	hsa-mir-625
Disease	Carcinoma, Lung	19	0.08920188	3.96279343	1.92e-8	1.07e-5	3.79e-6	hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-29b-1,hsa-mir-100,hsa-mir-99a,hsa-mir-155,hsa-let-7b,hsa-mir-450b,hsa-mir-30a,hsa-mir-335,hsa-mir-222,hsa-mir-92a-2,hsa-mir-150,hsa-mir-139,hsa-mir-486-2,hsa-mir-106a,hsa-mir-130b,hsa-mir-27a,hsa-mir-378c
Disease	Glaucoma	3	0.10344828	4.59568966	0.0258	1	0.2169	hsa-mir-450b,hsa-mir-30a,hsa-mir-29b-1
Disease	Acute Coronary Syndrome	6	0.27272727	12.11590909	5.06e-6	2.82e-3	3.10e-4	hsa-mir-486-2,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-100,hsa-mir-92a-2,hsa-mir-155
Disease	Acute Lung Injury	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-155
Disease	Adenocarcinoma, Lung	7	0.06930693	3.0789604	6.14e-3	1	0.069	hsa-mir-99a,hsa-mir-155,hsa-let-7b,hsa-mir-150,hsa-mir-106a,hsa-mir-151a,hsa-mir-27a
Disease	Adenocarcinoma, Pancreatic Ductal	9	0.12676056	5.63133803	1.58e-5	8.76e-3	6.36e-4	hsa-mir-186,hsa-mir-106a,hsa-mir-330,hsa-mir-222,hsa-mir-100,hsa-mir-99a,hsa-mir-27a,hsa-mir-155,hsa-mir-378c
Disease	Adenovirus Infection	5	0.13888889	6.17013889	1.01e-3	0.5616	0.0185	hsa-mir-30a,hsa-mir-27a,hsa-mir-155,hsa-mir-150,hsa-mir-378c
Disease	Allergic Asthma	1	0.25	11.10625	0.0871	1	0.4621	hsa-mir-155
Disease	Allergic Rhinitis	3	0.14285714	6.34642857	0.0106	1	0.1048	hsa-mir-92a-1,hsa-mir-92a-2,hsa-mir-155
Disease	Allergy	3	0.14285714	6.34642857	0.0106	1	0.1048	hsa-mir-155,hsa-mir-150,hsa-mir-106a
Disease	Alzheimer's Disease	9	0.09	3.99825	2.51e-4	0.1394	6.46e-3	hsa-mir-186,hsa-mir-29b-1,hsa-mir-100,hsa-mir-155,hsa-mir-181c,hsa-mir-222,hsa-mir-139,hsa-mir-339,hsa-mir-27a
Disease	Ankylosing Spondylitis	1	0.11111111	4.93611111	0.1857	1	0.7348	hsa-mir-155
Disease	Aortic Aneurysm, Abdominal	5	0.23809524	10.57738095	6.99e-5	0.0389	2.26e-3	hsa-mir-30a,hsa-mir-550a-1,hsa-mir-29b-1,hsa-mir-550a-2,hsa-mir-155
Disease	Asthma	2	0.04878049	2.16707317	0.2351	1	0.8527	hsa-let-7b,hsa-mir-155
Disease	Astrocytoma	3	0.17647059	7.83970588	5.78e-3	1	0.0662	hsa-mir-27a,hsa-mir-155,hsa-mir-106a
Disease	Atherosclerosis	12	0.12631579	5.61157895	4.40e-7	2.45e-4	4.60e-5	hsa-mir-92a-1,hsa-mir-29b-1,hsa-mir-100,hsa-mir-99a,hsa-mir-155,hsa-let-7b,hsa-mir-30a,hsa-mir-222,hsa-mir-92a-2,hsa-mir-150,hsa-mir-27a,hsa-mir-378c
Disease	Atopic Dermatitis	2	0.22222222	9.87222222	0.0161	1	0.1467	hsa-let-7b,hsa-mir-155
Disease	Atrial Fibrillation	8	0.13333333	5.92333333	3.47e-5	0.0193	1.28e-3	hsa-mir-486-2,hsa-mir-106a,hsa-mir-486-1,hsa-mir-30a,hsa-mir-29b-1,hsa-mir-199b,hsa-mir-155,hsa-mir-150
Disease	Behcet's Disease	2	0.28571429	12.69285714	9.66e-3	1	0.0976	hsa-mir-139,hsa-mir-155
Disease	Biliary Atresia	1	0.16666667	7.40416667	0.1279	1	0.5856	hsa-mir-155
Disease	Breast Neoplasms	13	0.08783784	3.90219595	9.24e-6	5.14e-3	4.44e-4	hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-199b,hsa-mir-155,hsa-mir-30a,hsa-mir-335,hsa-mir-222,hsa-mir-92a-2,hsa-mir-486-2,hsa-mir-339,hsa-mir-629,hsa-mir-151a,hsa-mir-27a
Disease	Carcinoma, Bladder	13	0.10833333	4.81270833	8.10e-7	4.51e-4	6.86e-5	hsa-mir-186,hsa-mir-29b-1,hsa-mir-199b,hsa-mir-100,hsa-mir-99a,hsa-mir-155,hsa-mir-335,hsa-mir-222,hsa-mir-150,hsa-mir-139,hsa-mir-106a,hsa-mir-130b,hsa-mir-27a
Disease	Carcinoma, Breast, Triple Negative	3	0.05	2.22125	0.1501	1	0.6278	hsa-mir-30a,hsa-mir-27a,hsa-mir-155
Disease	Carcinoma, Cervical	12	0.08695652	3.86304348	2.52e-5	0.014	9.55e-4	hsa-mir-92a-1,hsa-mir-29b-1,hsa-mir-100,hsa-mir-99a,hsa-mir-155,hsa-mir-181c,hsa-mir-335,hsa-mir-222,hsa-mir-92a-2,hsa-mir-150,hsa-mir-139,hsa-mir-27a
Disease	Carcinoma, Hepatocellular, HCV-Related	1	0.2	8.885	0.1077	1	0.5302	hsa-mir-155
Disease	Carcinoma, Lung, Small-Cell	5	0.23809524	10.57738095	6.99e-5	0.0389	2.26e-3	hsa-mir-30a,hsa-mir-29b-1,hsa-mir-335,hsa-mir-92a-2,hsa-mir-155
Disease	Carcinoma, Lung. Non-Small-Cell	18	0.08219178	3.65136986	2.08e-7	1.15e-4	2.46e-5	hsa-mir-186,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-330,hsa-mir-29b-1,hsa-mir-99a,hsa-mir-155,hsa-let-7b,hsa-mir-30a,hsa-mir-222,hsa-mir-92a-2,hsa-mir-150,hsa-mir-139,hsa-mir-379,hsa-mir-500a,hsa-mir-486-2,hsa-mir-27a,hsa-mir-378c
Disease	Carcinoma, Nasopharyngeal	8	0.07017544	3.11754386	3.05e-3	1	0.0401	hsa-mir-29b-1,hsa-mir-199b,hsa-mir-155,hsa-let-7b,hsa-mir-30a,hsa-mir-150,hsa-mir-27a,hsa-mir-378c
Disease	Carcinoma, Oral	3	0.08108108	3.60202703	0.0484	1	0.3093	hsa-mir-139,hsa-mir-181c,hsa-mir-155
Disease	Carcinoma, Ovarian	14	0.07216495	3.20592784	3.82e-5	0.0212	1.36e-3	hsa-mir-186,hsa-mir-92a-1,hsa-mir-29b-1,hsa-mir-199b,hsa-mir-100,hsa-mir-99a,hsa-mir-155,hsa-mir-30a,hsa-mir-335,hsa-mir-92a-2,hsa-mir-150,hsa-mir-106a,hsa-mir-130b,hsa-mir-378c
Disease	Carcinoma, Pancreatic	16	0.09638554	4.28192771	1.44e-7	7.98e-5	1.82e-5	hsa-mir-92a-1,hsa-mir-330,hsa-mir-29b-1,hsa-mir-100,hsa-mir-99a,hsa-mir-155,hsa-let-7b,hsa-mir-30a,hsa-mir-335,hsa-mir-222,hsa-mir-92a-2,hsa-mir-150,hsa-mir-139,hsa-mir-106a,hsa-mir-130b,hsa-mir-27a
Disease	Carcinoma, Prostate	15	0.05836576	2.59289883	NaN	0.00e+0	0.00e+0	hsa-mir-29b-1,hsa-mir-100,hsa-mir-99a,hsa-mir-155,hsa-let-7b,hsa-mir-181c,hsa-mir-30a,hsa-mir-335,hsa-mir-222,hsa-mir-150,hsa-mir-139,hsa-mir-500a,hsa-mir-130b,hsa-mir-27a,hsa-mir-378c
Disease	Carcinoma, Rectal	9	0.1875	8.3296875	5.15e-7	2.86e-4	5.08e-5	hsa-mir-139,hsa-mir-486-2,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-199b,hsa-mir-92a-2,hsa-mir-27a,hsa-mir-155,hsa-mir-150
Disease	Carcinoma, Renal Cell	8	0.06722689	2.98655462	4.00e-3	1	0.0487	hsa-mir-155,hsa-mir-3065,hsa-let-7b,hsa-mir-30a,hsa-mir-222,hsa-mir-106a,hsa-mir-27a,hsa-mir-378c
Disease	Carcinoma, Thyroid, Papillary	8	0.14285714	6.34642857	2.06e-5	0.0114	7.94e-4	hsa-let-7b,hsa-mir-130b,hsa-mir-30a,hsa-mir-199b,hsa-mir-222,hsa-mir-99a,hsa-mir-151a,hsa-mir-155
Disease	Cardiomyopathy	3	0.125	5.553125	0.0154	1	0.1419	hsa-mir-30a,hsa-mir-29b-1,hsa-mir-155
Disease	Cardiomyopathy, Ischemic	2	0.10526316	4.67631579	0.0664	1	0.371	hsa-mir-139,hsa-mir-155
Disease	Cardiovascular Diseases [unspecific]	9	0.140625	6.24726563	6.53e-6	3.63e-3	3.62e-4	hsa-let-7b,hsa-mir-92a-1,hsa-mir-29b-1,hsa-mir-222,hsa-mir-100,hsa-mir-99a,hsa-mir-155,hsa-mir-92a-2,hsa-mir-150
Disease	Cervical Neoplasms	1	0.05263158	2.33815789	0.3526	1	1	hsa-mir-155
Disease	Cholangiocarcinoma	6	0.17142857	7.61571429	8.87e-5	0.0493	2.58e-3	hsa-mir-106a,hsa-mir-181c,hsa-mir-29b-1,hsa-mir-222,hsa-mir-155,hsa-mir-150
Disease	Chordoma	2	0.14285714	6.34642857	0.0379	1	0.3021	hsa-mir-222,hsa-mir-155
Disease	Choriocarcinoma	5	0.08333333	3.70208333	9.83e-3	1	0.0976	hsa-mir-106a,hsa-mir-92a-1,hsa-mir-199b,hsa-mir-92a-2,hsa-mir-155
Disease	Chronic Hepatitis C	4	0.11111111	4.93611111	7.71e-3	1	0.0811	hsa-mir-30a,hsa-mir-222,hsa-mir-99a,hsa-mir-155
Disease	Colitis	3	0.25	11.10625	2.02e-3	1	0.031	hsa-mir-139,hsa-mir-155,hsa-mir-150
Disease	Colitis, Ulcerative	2	0.07692308	3.41730769	0.1144	1	0.5282	hsa-mir-335,hsa-mir-155
Disease	Coronary Atherosclerosis	3	0.21428571	9.51964286	3.24e-3	1	0.0417	hsa-mir-199b,hsa-mir-155,hsa-mir-100
Disease	Coronary Heart Diseases	6	0.10714286	4.75982143	1.25e-3	0.6954	0.0224	hsa-mir-486-2,hsa-mir-92a-1,hsa-mir-486-1,hsa-mir-339,hsa-mir-92a-2,hsa-mir-155
Disease	Crohn Disease	4	0.12121212	5.38484848	5.63e-3	1	0.0653	hsa-let-7b,hsa-mir-29b-1,hsa-mir-99a,hsa-mir-155
Disease	Cystic Fibrosis	1	0.0625	2.7765625	0.3064	1	1	hsa-mir-155
