"GSM2552104"	"GSM2552105"	"GSM2552106"	"GSM2552107"	"GSM2552108"	"GSM2552109"	"GSM2552110"	"GSM2552111"	"GSM2552112"	"GSM2552113"	"GSM2552114"	"GSM2552115"	"GSM2552116"	"GSM2552117"	"GSM2552118"	"GSM2552119"	"GSM2552120"	"GSM2552121"	"GSM2552122"	"GSM2552123"	"GSM2552124"	"GSM2552125"	"GSM2552126"	"GSM2552127"	"GSM2552128"	"GSM2552129"	"GSM2552130"	"GSM2552131"	"GSM2552132"	"GSM2552133"	"GSM2552134"	"GSM2552135"	"GSM2552136"	"GSM2552137"	"GSM2552138"	"GSM2552139"	"GSM2552140"	"GSM2552141"	"GSM2552142"
"hsa_let_7e_3p"	1.078547	0.6600178	1.17541	0.6480568	1.194924	0.8640903	0.8078455	0.9704998	0.9813509	0.8877697	1.029054	0.9319603	1.040878	1.063656	0.9813509	0.9651016	0.6480568	0.8437446	0.6567441	0.8437446	0.8086902	1.316578	1.273197	0.7321545	0.9104857	1.256113	0.892052	0.8390841	0.8031101	0.9621254	0.9119625	1.209013	0.6208277	0.4182392	0.776947	0.8591817	0.9235175	0.6752273	0.8902286
"hsa_let_7f_5p"	8.333695	8.577019	8.610751	9.123587	8.837776	9.334656	9.021999	9.300503	9.661406	9.319082	7.677466	7.718535	7.388722	8.00629	8.783624	7.29809	8.358209	8.565577	9.695018	9.904783	9.456566	8.701326	8.56097	10.19039	9.672341	8.511018	8.962318	9.499283	8.968523	8.736449	10.47244	9.005708	9.34005	7.946771	8.250179	8.297898	8.313567	8.366768	9.262356
"hsa_let_7f_1_3p"	1.355865	0.6738952	1.515262	1.234863	1.709934	0.9869536	1.586893	1.401007	1.465748	0.9938579	1.945756	1.146576	0.9846234	0.778197	1.387094	0.9801489	1.945791	1.505431	1.260075	1.898788	1.410941	0.6703427	1.132357	1.050524	1.624615	0.8576581	1.311749	1.070841	1.097535	0.7808061	1.418578	0.9304919	1.637889	0.9516674	1.104996	1.007865	1.260075	1.343955	1.333414
"hsa_let_7f_2_3p"	0.9163086	0.7970878	0.7587113	1.404561	0.7779143	0.7083139	0.649896	0.6603249	0.8638422	0.896672	1.191461	0.5299468	0.8866599	0.9587739	0.7766267	0.859311	1.010124	0.5933942	0.8256937	0.7552645	0.800191	1.16236	0.628037	0.7377155	1.073834	0.9516673	0.9119624	1.049919	0.6801133	0.6829282	0.9010197	0.745689	0.8309559	1.18609	1.147475	1.122515	1.076899	0.8761224	0.8902285
"hsa_miR_15a_5p"	8.891709	9.35672	9.594225	10.5151	9.780928	10.3676	9.667263	10.37323	9.779278	9.730998	8.921236	8.804789	8.959633	8.689878	9.457273	8.836184	10.342	9.792353	10.61337	10.51821	10.4594	10.11385	9.948229	8.40725	9.772398	9.758683	10.15594	10.17917	10.2514	9.92063	11.13626	9.508374	9.33569	7.933167	7.156776	10.7786	9.767305	9.909922	10.80826
"hsa_miR_15a_3p"	1.137672	1.140455	1.039149	2.164126	1.194924	1.535252	2.621478	3.109202	2.434583	1.307566	2.774516	1.02468	1.238899	1.649524	1.092554	1.030844	1.671494	1.722186	1.858142	2.470848	2.146144	1.699475	2.152443	0.6932601	1.018046	1.851679	2.207916	1.939094	1.456746	1.210573	4.309899	1.722636	1.840542	0.9457507	0.9610481	1.449193	1.555981	1.010071	1.967908
"hsa_miR_16_5p"	14.13959	13.45296	13.55137	13.90056	13.91512	13.69969	13.39091	13.85354	13.5202	13.52728	13.19456	13.40563	13.7044	13.21758	13.78869	13.08416	14.05394	13.56922	14.0276	14.45761	13.9315	13.62826	13.83769	13.74662	13.5656	13.60428	13.91302	14.49048	14.03418	13.6907	14.06073	13.53838	13.64183	13.54394	13.63105	14.32045	13.3195	13.63598	13.99828
"hsa_miR_16_1_3p"	1.225	0.4529156	0.7710176	1.371034	1.320603	0.8362006	0.9297414	0.9545457	0.8508944	0.8723847	1.107504	0.7454194	1.248073	0.6733247	0.6785955	0.8558317	0.901998	1.123664	1.000789	1.061621	1.225	0.5518649	1.889024	0.9709759	0.8945317	1.201665	1.130745	1.016392	1.089384	0.7733775	1.433442	0.8954276	0.923929	0.946801	1.079393	0.9124228	0.4534087	0.8659072	0.7378399
"hsa_miR_17_5p"	13.55046	13.39763	13.69527	13.39693	13.41038	14.04266	13.15882	13.44149	14.741	13.45826	13.75781	13.59001	13.15291	13.36547	13.7452	13.54081	13.30875	13.39948	13.61132	13.78299	13.64537	13.38964	13.66792	13.43574	13.92234	13.54098	13.75324	13.7529	13.45296	13.45296	13.54603	13.53152	13.62187	13.09365	12.72977	13.78658	13.96921	14.05594	13.24289
"hsa_miR_17_3p"	6.266747	7.554068	7.883985	6.99436	6.872165	8.153623	8.17333	8.12407	8.082509	8.418312	8.231486	7.834312	6.900693	7.457792	7.624859	7.09897	7.008411	7.700552	7.203309	7.55688	7.733561	7.962352	8.97912	6.629162	7.98333	8.333732	7.871609	7.307465	7.680665	7.525976	9.172659	8.091111	7.502975	5.092594	3.464045	7.251376	7.702594	7.506342	6.890797
"hsa_miR_18a_5p"	8.971198	9.81601	10.13579	9.937608	9.611129	10.89882	9.165762	9.945117	10.86161	9.913284	10.83255	10.1905	9.141273	9.523223	10.50297	10.2845	9.923477	9.755054	10.70018	10.39081	10.05532	10.18953	10.51726	8.783535	11.00475	10.28366	10.06945	10.16716	9.826839	9.86319	10.15696	10.0393	9.677092	8.452069	6.943991	10.65245	11.51582	11.37196	9.694139
"hsa_miR_18a_3p"	6.148211	5.370219	6.23005	5.601892	5.8704	6.65598	6.01158	6.360492	7.141491	6.09005	6.751937	6.163142	4.95686	4.414871	6.757857	5.254909	5.497223	5.116365	4.920728	5.758023	5.962224	6.173521	6.271385	6.209193	6.719531	5.951187	5.954279	6.430297	5.823659	5.500614	6.794366	6.142681	6.401207	5.566836	4.857095	6.000023	7.238442	6.439702	5.081096
"hsa_miR_19a_5p"	1.15039	1.248474	0.5450981	1.051305	0.8980246	1.169455	1.119672	0.6587366	0.9813509	1.017092	1.437125	0.7097769	0.8406751	0.863255	0.9774179	1.17636	0.7214668	0.9148957	0.680818	1.2919	1.306093	0.9896424	0.7518473	0.824901	1.094756	1.058454	0.9360363	0.8844873	0.9291081	0.6783029	0.8772404	0.8902286	1.225118	0.9278818	0.9372625	1.062585	1.072966	1.22408	0.5009456
"hsa_miR_19a_3p"	5.587429	7.030808	7.34106	7.026661	6.360126	8.220618	6.207348	7.58067	6.80551	7.355806	7.074412	6.81466	5.604	6.217459	7.49282	6.643735	7.079747	6.866478	7.354761	7.473333	7.729804	7.420586	8.062786	5.989272	7.540534	7.209489	7.254989	7.35937	7.241303	7.320426	8.139378	7.221948	6.882162	5.00134	4.244491	6.886918	7.583193	7.593923	7.515657
"hsa_miR_19b_1_5p"	1.128937	1.02629	0.8160262	1.262788	1.978951	2.820541	2.034527	2.965297	1.540124	1.337078	1.328943	1.302186	0.7324936	1.331437	1.460394	1.311806	1.042439	1.342109	0.8943482	1.940207	1.944371	1.4951	1.256882	1.790763	1.619097	1.353167	1.393346	1.292569	1.637417	1.272092	4.207122	2.412087	1.556329	1.013791	1.05261	1.104253	1.335634	1.470935	1.212496
"hsa_miR_19b_3p"	10.86589	11.58372	12.27982	11.82345	11.44879	12.13972	11.12074	11.98385	11.57222	11.96043	11.42531	11.78488	10.77176	11.56346	11.64035	11.57585	12.13966	11.7651	11.83547	12.11034	12.38008	11.8417	12.20579	11.07165	11.88656	11.90812	12.14491	12.40983	11.87003	11.84058	12.41858	11.75089	11.89323	10.62223	10.01384	11.79243	11.92605	11.94978	12.11388
"hsa_miR_19b_2_5p"	0.9166	0.8382252	0.8039898	0.5299468	0.8811785	1.171158	0.7954371	0.9991351	0.8989954	0.6952751	1.036421	0.8341527	0.4887325	0.9134769	0.585447	0.7162149	0.8178358	0.7153651	0.6617392	1.220164	0.6749803	0.6443357	1.065952	0.8431027	0.6097254	1.256113	0.6047301	0.8060647	0.9100294	1.189465	0.4173731	0.702388	0.8078454	0.8316817	0.5978552	0.608583	0.7246766	1.040013	0.7702429
"hsa_miR_20a_5p"	12.80684	13.12036	13.51864	13.00151	13.01152	13.59928	12.79423	13.28725	13.39956	13.32248	13.19202	13.29593	12.6285	13.03346	13.37659	13.17502	12.80102	13.14533	13.42796	13.34847	13.35018	13.19837	13.43525	12.72657	13.40428	13.34608	13.34766	13.21639	13.21555	13.18749	13.2902	13.28236	13.15874	12.46105	11.70868	13.39411	13.59376	13.58877	12.97605
"hsa_miR_20a_3p"	1.000614	0.6398953	1.257469	1.214893	1.215224	1.137747	1.124492	1.808117	1.598324	1.173454	0.6746299	1.471788	1.173454	0.8680756	1.189466	1.380648	1.149548	1.471431	0.8669162	1.32282	1.309909	1.477947	1.693636	1.165727	0.9165272	0.7340103	1.06227	1.276414	1.19866	0.9604018	2.586708	0.910529	1.4513	1.303282	1.093624	0.9757814	1.240106	1.742805	0.6658611
"hsa_miR_21_5p"	6.149502	5.469379	6.442481	5.820198	6.756276	6.885491	6.6183	7.540166	7.618791	7.73266	7.39031	6.005579	6.725934	7.8262	6.559303	4.864315	7.162004	6.207387	7.66533	7.900257	7.160579	7.022296	7.15779	6.341124	6.991534	5.986032	6.650631	8.085363	8.153253	7.244521	8.068754	6.523085	7.51205	3.967993	1.75596	5.601149	4.705802	5.668777	7.840776
"hsa_miR_21_3p"	1.166052	1.709163	1.877615	1.461881	2.100025	2.102799	3.631605	3.968499	3.534142	5.606038	6.886426	2.73862	4.376005	4.400311	4.615055	2.93876	3.371119	2.327377	1.629794	3.160106	3.424898	2.158125	4.975597	1.374879	3.842469	2.473065	1.013828	2.892797	3.658846	1.376504	5.391946	4.168665	5.499111	1.182829	0.948779	1.473161	1.433656	1.856178	1.380211
"hsa_miR_22_5p"	1.323228	0.8078454	0.6853667	1.048587	1.252568	1.307752	1.172728	1.297928	2.772774	0.6600178	1.031941	1.332612	1.279005	1.102015	1.189465	1.155691	1.182815	1.651016	2.206803	2.023828	1.526324	1.431391	1.285646	1.365961	1.094756	1.091936	1.289783	1.89126	2.080123	1.930043	1.866238	1.192478	2.755191	0.7695361	0.9814086	1.052455	1.303817	1.200006	2.138855
"hsa_miR_22_3p"	8.917825	7.785004	8.451809	9.042501	8.531637	8.376657	8.931471	9.171114	8.824181	8.098708	8.365938	7.659726	8.637401	8.19287	8.715611	8.546177	9.832534	7.979101	9.724888	10.10336	9.182859	10.01456	7.719512	7.623664	7.964916	7.355421	8.259769	10.20705	8.800251	8.841399	8.76152	7.449284	9.369406	7.494589	7.711281	9.791208	7.982209	8.286263	9.592485
"hsa_miR_23a_5p"	6.920156	5.161644	7.129968	8.821071	6.027442	7.263195	6.386638	7.101392	6.97262	6.415668	6.184145	4.11713	4.586991	5.743536	7.141212	7.009078	5.401977	6.021113	8.822517	7.671955	7.214437	7.167622	4.573335	5.499376	5.662236	5.13235	5.331282	7.556819	6.621151	6.428255	7.287759	6.368067	7.30999	7.134507	6.257699	7.084837	5.217125	6.395577	7.498415
"hsa_miR_23a_3p"	13.73114	12.71959	13.46654	13.81984	13.71535	13.60715	13.18736	13.63005	14.28066	12.89334	12.7913	11.40188	12.47047	13.14151	13.04584	12.70614	13.40327	12.99874	14.33101	13.81006	13.78437	13.42038	12.13248	13.67772	12.48773	13.05035	13.63188	13.49424	13.51275	13.44827	13.92326	13.02396	13.49831	12.79631	13.40416	13.67822	12.96909	13.13994	13.48907
"hsa_miR_24_1_5p"	1.125422	1.103808	0.8211125	0.668492	0.7259986	1.177258	0.9476087	0.9826425	1.123664	0.8840719	1.25578	0.5733438	0.8840719	0.8497994	0.9232379	0.9817979	0.7407898	0.8733708	1.206973	0.8195834	0.7238514	0.4138474	1.044855	0.8752816	0.7345886	0.9091212	0.5872653	0.3921679	1.316643	0.9722632	0.9651893	0.9336255	1.382754	0.7472856	0.8665159	0.5250616	0.8761333	0.7172425	0.8613276
"hsa_miR_24_3p"	13.63234	12.33347	13.05244	13.44698	13.25511	13.24259	12.62638	13.13817	13.90646	12.61148	12.43598	11.12077	12.58404	13.05143	12.82383	12.56143	13.08029	12.91858	13.92399	13.40389	13.36116	13.04566	11.87286	13.34351	12.05118	12.72586	13.17129	13.05384	13.39764	13.1254	13.47857	12.6008	13.17466	12.31589	12.73572	13.15398	12.57063	12.74382	13.05242
"hsa_miR_24_2_5p"	5.800921	3.932745	5.898982	6.437726	5.590551	6.611006	5.594511	6.577862	7.115448	5.462512	5.338673	2.913534	4.710984	5.589664	5.279535	5.023827	5.811533	5.676768	7.262001	6.327704	6.37815	6.386358	3.829663	5.542413	3.57418	5.411252	6.04065	5.835941	6.437057	6.309362	7.288062	5.296731	6.101107	3.481457	2.072296	5.890746	5.362419	4.682232	5.857572
"hsa_miR_25_5p"	7.083162	6.772798	6.671766	6.55162	6.816446	6.908632	6.682933	6.362037	7.791471	7.861286	6.579706	7.201765	5.925384	6.084055	7.218183	5.809876	6.240498	6.817149	6.2619	7.216874	6.65842	6.625405	6.928666	6.219594	7.00482	7.295128	5.594236	6.197556	5.695613	6.66468	6.862505	6.446321	6.949592	7.433578	6.948853	7.63614	6.593325	6.768583	5.187373
"hsa_miR_25_3p"	10.15791	10.17438	10.45562	10.81926	10.05015	10.34369	10.27873	10.62234	11.26208	10.78718	9.967071	10.1473	9.54129	9.606297	10.39402	9.235936	10.62107	10.02396	11.12711	10.94635	10.76794	10.47324	10.54682	10.70869	10.7687	10.68654	10.27281	11.24462	10.62208	10.38817	11.13097	10.16168	10.90094	10.13245	10.14691	10.48158	10.03137	10.36972	10.71637
"hsa_miR_26a_5p"	13.98092	13.47076	13.82386	13.78748	13.73892	13.68457	13.49018	13.78834	14.7209	13.7063	13.254	13.16392	13.43231	13.54457	13.62491	13.0433	13.78877	13.56053	14.04847	14.26498	13.85514	13.46382	13.55536	14.36499	13.39595	14.03178	14.00346	13.97656	14.14499	13.63237	14.36084	13.65065	13.80455	13.3314	13.33059	13.69798	12.92411	13.37071	13.88264
"hsa_miR_26a_1_3p"	1.124741	0.6722031	0.8943933	0.4633268	0.9805621	0.6722031	0.8096147	0.8066185	0.7583088	0.8406751	0.6560987	0.913477	0.811093	1.114761	0.7843593	0.8370852	0.5006459	1.194823	0.8260137	0.9906799	0.7527795	0.8541607	0.4416723	1.14752	0.8473455	0.8591969	1.463581	0.8588381	0.8178358	0.6951135	0.9137318	0.6982775	0.4104411	0.9534367	0.9312807	0.8484086	0.9068035	0.9769642	0.7761865
"hsa_miR_26b_5p"	5.328457	5.02781	5.478977	6.053738	5.390014	6.358456	5.459236	6.743735	6.807707	5.837311	4.593343	4.472762	4.120904	3.234306	4.80355	3.656176	6.295646	4.637251	7.201692	6.691391	6.486444	5.129961	5.702639	6.235362	6.438488	5.74537	6.310928	6.808459	6.544253	5.918069	7.396828	5.469476	6.093606	3.583204	4.514569	5.44641	3.793112	4.454292	7.242669
"hsa_miR_26b_3p"	1.415728	0.6600178	0.9239755	2.043736	1.570678	1.472777	1.287545	1.760109	3.417793	1.265582	1.141189	1.200599	1.274575	1.67583	0.7430512	1.747771	1.619413	0.9916509	2.459377	2.044482	2.496155	0.9916695	0.8677985	1.771108	1.232265	1.256114	2.232015	1.932161	1.864481	1.05253	2.937741	1.223556	1.639798	1.030967	1.857561	2.42992	1.621769	2.290015	1.925689
"hsa_miR_27a_5p"	6.432811	6.302097	7.25075	8.87413	5.302562	7.939085	6.837782	7.630792	7.811777	7.682435	7.169126	6.124686	5.725541	6.882836	8.20509	7.670605	6.584659	6.575159	9.321043	7.889858	7.393856	7.622787	5.29827	5.77821	6.411348	5.886837	4.788559	6.592622	8.071991	6.378732	7.999504	7.521792	8.151731	5.261208	5.295137	7.042008	6.711554	6.258213	7.167166
"hsa_miR_27a_3p"	11.313	11.00527	12.21334	12.65887	11.64801	12.48404	10.88151	12.43737	11.89529	11.6489	11.13966	9.472906	10.36675	11.33381	11.3514	11.116	11.50099	11.63	13.0303	12.39049	12.62503	12.09048	10.34124	10.11726	10.83711	11.31398	11.92747	11.2845	12.06084	11.62439	12.66881	11.24886	11.46426	9.129034	9.306194	12.08864	11.51503	11.69924	12.09768
"hsa_miR_28_5p"	7.568587	7.617582	7.541781	7.711763	6.948053	7.78082	7.201885	7.580462	8.622556	7.413454	6.855889	6.974908	7.269085	7.187713	7.505543	6.600558	7.364644	7.386184	8.128098	7.623428	7.56957	7.852984	7.645861	7.647089	7.137733	7.100299	7.415818	7.907641	7.621555	7.535784	8.327453	7.236589	8.141645	6.605572	6.226049	7.730627	7.149005	7.289785	8.434314
"hsa_miR_28_3p"	7.200865	7.225165	7.331361	7.333899	6.516346	7.824799	7.77304	7.434092	8.29381	7.27298	6.354866	6.919182	6.855037	7.0323	7.590871	5.910661	6.91109	7.17825	7.585799	7.108775	7.127088	7.956596	7.143336	7.781201	6.592448	6.571965	7.086165	7.590313	7.246217	7.075043	8.418067	7.094511	7.974732	6.848833	6.216513	6.763001	6.327615	6.72179	7.769733
"hsa_miR_29a_5p"	0.7091223	1.122397	0.745006	1.234863	0.7586033	0.9192374	0.8694537	0.7214642	0.8178358	0.9261416	0.991924	0.6690774	1.146969	1.06375	0.5573697	0.7958746	0.9677299	0.9376054	0.8466158	0.7269444	0.8352245	0.8541607	0.6331595	0.5978553	0.7855916	0.8342781	0.6430165	0.6256404	1.189465	0.7785841	0.6643199	0.8365234	0.5897759	0.9610724	0.7324402	0.6909386	0.4753916	1.08527	0.8996336
"hsa_miR_29a_3p"	8.665943	8.670161	9.984498	9.067396	8.771945	10.03611	9.372654	9.860147	9.433786	9.332812	9.19874	9.000255	9.290248	8.568601	9.762581	8.532673	10.10504	9.226422	9.410995	8.845823	9.954445	9.441034	10.28835	8.138386	8.884805	8.351824	9.834785	10.02884	8.704869	10.10775	10.08996	9.617918	9.91519	7.8077	6.628529	8.809619	9.450682	8.866374	10.79813
"hsa_miR_30a_5p"	5.631926	5.035333	6.109662	5.819595	5.789525	6.530338	4.51143	6.779963	6.605312	6.152793	5.357763	5.249511	4.853492	5.344294	6.1493	5.378005	5.782746	5.995746	6.463614	6.222553	6.932839	5.38536	6.268726	5.749758	6.281075	5.21123	5.625901	6.154579	5.952779	6.223319	7.766655	5.510365	6.596552	2.843619	2.683245	6.150072	3.996656	5.330275	6.919719
"hsa_miR_30a_3p"	0.7796841	1.024269	1.460097	1.610743	0.7022717	0.7306268	0.5086856	1.103493	1.275288	0.5544441	0.6758586	0.9350062	0.7351015	0.84322	1.210995	0.9806231	0.9093956	0.7732519	1.901313	0.6225159	3.052161	0.656744	0.8878994	0.9505128	1.005162	0.6153049	0.6047301	0.5918192	1.062407	0.8733047	1.864395	1.075489	1.376174	1.179155	0.9638622	1.532176	0.9713255	1.245485	1.566392
"hsa_miR_31_5p"	5.664626	5.141477	4.235378	2.552021	3.784468	2.501993	7.847736	5.928647	5.638656	2.879319	6.023224	5.90286	6.43003	5.814057	5.394466	4.649362	7.644377	4.77985	3.514607	5.098729	6.813258	3.613895	6.074068	6.796374	2.464154	4.02158	3.660412	6.215903	4.229215	6.080209	4.061321	5.046684	5.257309	0.9357858	1.796602	5.032675	1.439522	1.363752	6.406611
"hsa_miR_31_3p"	0.7994331	1.228152	0.9702208	0.877858	0.6669936	1.365513	0.8372092	0.6734244	0.8464383	0.8406751	0.9910897	0.9887511	0.9558349	0.5928608	1.311714	0.8372092	1.413165	1.099986	0.9203252	1.238318	1.269	0.7789927	1.119801	0.8540908	0.9598435	0.8122207	1.347543	0.9346657	1.074312	0.942986	0.9400843	1.434845	0.930094	0.8984351	0.8968421	0.8131871	0.7642398	0.7719039	1.235711
"hsa_miR_32_5p"	1.252975	1.298204	1.029462	1.15389	1.099816	1.480666	1.870251	1.083443	0.9064977	1.218028	1.359998	1.555517	0.9125745	1.390624	1.27994	1.603742	1.560292	1.584388	1.331975	1.515104	1.771185	1.539352	1.326613	0.9765045	1.432404	1.532767	1.458381	1.207193	1.112777	2.08111	1.185479	1.722636	0.8078455	1.66293	1.366919	1.3656	1.148798	2.059858	1.844413
"hsa_miR_32_3p"	0.5824744	1.30252	0.7534467	1.064334	1.278172	1.407378	0.75269	0.6821378	1.069014	0.8406751	0.8515207	0.8401884	0.786025	0.5859941	1.022247	1.081774	0.9048131	0.7686695	1.089546	0.7489923	0.6799141	0.9374092	0.8237193	0.9707744	0.9242274	0.7509991	0.7414337	1.492401	0.9137475	0.7545376	1.063951	0.6097699	0.9644098	0.3449506	0.9063979	0.7906284	0.9459303	0.8278262	0.9311247
"hsa_miR_33a_5p"	0.636588	1.725729	0.8218402	0.7944644	1.001164	0.8384684	1.343508	0.8362006	0.8155964	0.8541508	1.176351	1.071838	1.040878	0.7593122	0.869714	1.049144	1.180192	0.9277865	1.233688	0.9510598	1.103211	1.07836	0.891633	0.816111	1.094978	1.256114	0.9362034	1.017384	0.494794	0.814437	1.36393	1.109899	0.7916505	0.7859129	1.453159	1.006175	0.8381699	1.013021	0.8192949
"hsa_miR_33a_3p"	1.044223	0.7505714	2.172001	1.10044	0.9092679	1.498191	0.9341694	1.232168	1.81523	0.924065	0.6274648	1.016542	1.047553	0.7452983	1.388584	0.8537255	1.016972	1.036439	0.9729397	0.9085519	1.143296	1.074785	1.025582	1.165045	0.9340521	1.082239	0.8840768	1.148991	1.131059	0.9541502	1.262115	1.388601	1.399253	1.087222	0.7992073	0.8172625	0.9697771	1.347201	1.41009
"hsa_miR_92a_1_5p"	6.281256	6.369849	6.825646	4.766445	5.570194	7.012808	5.13211	6.724216	8.02068	7.027978	5.792848	6.929212	6.005526	5.945342	7.179459	5.988586	4.57331	5.415044	5.865906	6.461719	5.581819	5.436853	6.454416	6.338308	5.426948	5.860864	5.241796	5.473177	5.970832	6.244737	6.454115	6.147362	7.146967	6.403274	5.746818	5.908142	7.035476	6.501863	4.923458
"hsa_miR_92a_3p"	13.36062	13.29872	13.63571	13.03601	13.44027	13.83083	13.4387	13.62758	14.42731	13.51404	13.28223	13.4775	13.1429	13.37615	13.39732	13.24748	13.1593	13.29336	13.23696	13.65057	13.30841	12.9751	13.35354	13.72297	13.61267	13.49987	13.31616	13.37276	13.31167	13.44127	13.62514	13.37304	13.50035	13.24595	13.36042	13.41439	13.41444	13.48526	12.93395
"hsa_miR_92a_2_5p"	1.116137	0.8654637	0.9410469	1.081763	0.7896445	1.452895	0.8078454	0.7743149	1.052069	1.47177	1.890355	1.510519	0.7065868	0.6938983	1.117871	1.041023	1.144893	1.124967	1.462697	0.8788409	0.7878182	1.033788	0.7851868	1.23087	1.300202	0.9730879	1.287061	1.461559	1.273949	0.8317285	0.9119624	0.6753217	0.9566457	0.9810088	0.9228618	0.863917	0.8382196	1.627553	0.9816325
